Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HasPool,PoolArea,PoolQuality,PoolType
350,4749,1,2,1,1947,Downtown,Fair,No,153976,Yes,12,Low,Outdoor
351,2179,4,1,1,1964,Rural,Poor,Yes,205183,No,0,None,None
352,4006,5,4,3,2012,Downtown,Good,No,687854,Yes,49,Medium,Indoor
353,3244,5,2,3,1937,Rural,Fair,No,307443,Yes,43,High,Indoor
354,3856,1,1,2,1901,Urban,Fair,No,694256,No,0,None,None
355,4545,2,2,2,2012,Rural,Fair,No,111600,No,0,None,None
356,1743,2,1,1,1905,Urban,Excellent,No,624310,Yes,49,Low,Outdoor
357,3618,4,1,2,1945,Downtown,Fair,No,708559,No,0,None,None
358,2641,4,4,2,1949,Urban,Excellent,No,887329,No,0,None,None
359,3559,4,2,3,1937,Suburban,Excellent,No,874470,Yes,36,Medium,Indoor
360,3459,2,3,2,2005,Urban,Poor,Yes,173323,Yes,22,Medium,Outdoor
361,2765,3,4,1,1987,Rural,Excellent,Yes,236110,No,0,None,None
362,2979,5,4,2,1917,Rural,Excellent,Yes,694566,Yes,42,High,Outdoor
363,2135,3,1,1,1926,Rural,Good,Yes,947486,Yes,15,Medium,Outdoor
364,2257,3,3,3,1940,Urban,Fair,No,320041,No,0,None,None
365,4952,2,2,1,1971,Rural,Excellent,No,638829,Yes,33,Low,Indoor
366,2570,3,3,2,1991,Rural,Fair,Yes,156968,Yes,28,Medium,Indoor
367,3349,1,3,3,1973,Suburban,Excellent,Yes,589180,No,0,None,None
368,3751,4,3,2,1916,Urban,Poor,Yes,975775,No,0,None,None
369,4230,1,3,3,2018,Suburban,Good,No,74815,Yes,25,Low,Outdoor
370,2989,5,3,3,1961,Rural,Excellent,No,882044,Yes,49,Medium,Indoor
371,2131,4,1,2,1928,Rural,Fair,Yes,476573,No,0,None,None
372,3316,3,1,2,1957,Rural,Poor,Yes,518304,No,0,None,None
373,1515,5,4,3,1969,Urban,Fair,Yes,852699,No,0,None,None
374,1848,4,1,3,1977,Downtown,Poor,Yes,854700,No,0,None,None
375,3587,3,4,2,1921,Rural,Good,Yes,688751,Yes,37,High,Indoor
376,3339,1,4,1,2017,Rural,Poor,No,981767,No,0,None,None
377,835,4,2,2,1905,Rural,Fair,Yes,514151,No,0,None,None
378,1395,3,3,3,1925,Rural,Fair,No,931779,Yes,42,Low,Indoor
379,4046,1,1,2,1938,Urban,Excellent,Yes,240732,No,0,None,None
380,1351,5,2,1,1911,Downtown,Poor,Yes,246599,Yes,22,Medium,Indoor
381,2187,5,1,2,1998,Downtown,Fair,No,244451,No,0,None,None
382,2431,5,4,3,1913,Downtown,Excellent,Yes,406686,No,0,None,None
383,4246,5,1,2,1921,Rural,Good,No,746631,No,0,None,None
384,2927,2,3,3,1950,Rural,Fair,No,378756,Yes,34,Medium,Indoor
385,2068,4,4,3,1922,Downtown,Excellent,Yes,188307,Yes,45,Medium,Indoor
386,4500,4,4,2,1947,Downtown,Fair,Yes,138757,No,0,None,None
387,3238,2,2,3,1970,Rural,Poor,No,459633,Yes,36,Low,Indoor
388,3998,3,3,3,2003,Rural,Excellent,No,934507,Yes,47,Low,Outdoor
389,4413,3,4,1,1949,Suburban,Poor,Yes,346753,Yes,16,Low,Indoor
390,1566,5,3,1,1988,Suburban,Good,No,939217,Yes,14,High,Indoor
391,4880,1,1,1,1912,Suburban,Poor,Yes,304200,Yes,40,High,Indoor
392,2944,3,3,1,1984,Downtown,Excellent,No,597933,Yes,32,Low,Indoor
393,4607,1,4,3,2004,Urban,Fair,Yes,506089,No,0,None,None
394,3873,4,2,2,1909,Rural,Excellent,No,769918,No,0,None,None
395,4469,1,4,3,2016,Suburban,Poor,No,374377,Yes,19,Medium,Indoor
396,3046,4,3,3,1954,Urban,Poor,Yes,423587,No,0,None,None
397,1253,2,3,3,2022,Rural,Fair,No,204473,No,0,None,None
398,2582,2,4,2,1908,Urban,Good,No,844203,No,0,None,None
399,3274,5,3,1,1978,Downtown,Excellent,No,517667,No,0,None,None
400,3396,3,1,3,1951,Downtown,Fair,No,522650,Yes,41,High,Indoor
401,4685,5,4,3,1901,Downtown,Fair,No,510665,No,0,None,None
402,1275,4,2,1,1924,Suburban,Fair,No,414745,No,0,None,None
403,2125,5,4,3,1912,Rural,Excellent,No,535820,Yes,39,Low,Indoor
404,3569,1,1,2,1997,Downtown,Excellent,Yes,445158,Yes,48,Medium,Indoor
405,917,4,1,3,1950,Suburban,Excellent,No,725748,No,0,None,None
406,614,2,1,3,1957,Suburban,Good,No,961656,No,0,None,None
407,1116,3,1,1,1933,Suburban,Fair,Yes,657539,No,0,None,None
408,4474,4,1,3,1934,Suburban,Poor,No,631330,No,0,None,None
409,3767,4,2,3,2001,Downtown,Poor,No,890172,No,0,None,None
410,1325,1,3,2,1902,Suburban,Fair,Yes,246945,No,0,None,None
411,2016,3,1,1,2005,Downtown,Poor,No,621312,Yes,40,High,Outdoor
412,3646,2,1,1,2019,Downtown,Good,No,728810,No,0,None,None
413,912,4,4,2,1958,Suburban,Good,Yes,631253,No,0,None,None
414,1228,4,2,3,1969,Downtown,Excellent,Yes,322201,Yes,27,Medium,Indoor
415,3848,1,2,1,2018,Rural,Excellent,No,798609,Yes,45,Medium,Indoor
416,3308,5,3,1,1947,Rural,Excellent,No,845415,Yes,11,Medium,Indoor
417,1175,2,2,3,1963,Urban,Excellent,Yes,442613,Yes,23,Medium,Indoor
418,3965,3,4,3,2012,Rural,Excellent,No,594283,No,0,None,None
419,3004,4,4,1,1918,Downtown,Poor,Yes,164587,No,0,None,None
420,3467,4,3,3,1966,Downtown,Poor,Yes,283076,No,0,None,None
421,3286,2,4,1,1981,Rural,Excellent,Yes,796988,No,0,None,None
422,1622,5,1,3,2002,Suburban,Good,No,520897,No,0,None,None
423,4579,4,1,3,1972,Suburban,Poor,Yes,88886,No,0,None,None
424,2071,2,4,2,2015,Downtown,Good,Yes,401169,Yes,22,High,Outdoor
425,2643,1,3,3,1975,Suburban,Good,Yes,539788,No,0,None,None
426,2187,5,2,2,1904,Urban,Fair,No,145149,Yes,38,High,Outdoor
427,4632,3,3,3,1966,Urban,Fair,No,668308,Yes,21,High,Outdoor
428,4351,4,2,1,1910,Rural,Excellent,No,576961,No,0,None,None
429,3940,2,4,1,2020,Rural,Good,Yes,913945,Yes,48,Low,Outdoor
430,4266,1,4,3,1993,Suburban,Poor,No,73466,No,0,None,None
431,2826,3,1,3,1967,Downtown,Fair,No,287626,Yes,11,High,Outdoor
432,3414,2,2,1,1968,Rural,Fair,Yes,928977,No,0,None,None
433,4452,2,3,3,1900,Urban,Good,Yes,559966,Yes,41,Medium,Outdoor
434,1095,3,4,2,1990,Rural,Fair,No,624694,No,0,None,None
435,1228,1,3,2,1991,Rural,Fair,No,446904,No,0,None,None
436,1865,1,1,2,1962,Urban,Poor,Yes,643572,No,0,None,None
437,4992,5,2,2,1928,Downtown,Good,No,810006,No,0,None,None
438,1198,4,2,2,1981,Rural,Fair,Yes,951011,No,0,None,None
439,895,3,4,3,1911,Rural,Good,Yes,587953,Yes,22,High,Outdoor
440,4671,3,2,3,1976,Rural,Fair,No,594929,Yes,36,Medium,Outdoor
441,4860,3,4,2,1940,Suburban,Poor,No,475716,Yes,26,Low,Outdoor
442,3002,1,1,3,1901,Rural,Good,No,610085,No,0,None,None
443,2319,4,2,3,1936,Urban,Fair,No,790126,Yes,49,Medium,Outdoor
444,1217,5,4,2,1944,Downtown,Poor,Yes,358094,No,0,None,None
445,3282,2,3,3,1979,Downtown,Fair,No,992550,No,0,None,None
446,4077,2,4,3,1947,Urban,Good,No,965986,Yes,40,Medium,Outdoor
447,643,3,2,3,1923,Suburban,Fair,No,676627,Yes,43,Medium,Outdoor
448,3640,4,1,2,1998,Urban,Good,Yes,687719,No,0,None,None
449,4991,1,2,3,1921,Downtown,Good,No,282275,Yes,33,Low,Outdoor
450,3438,4,2,1,1999,Urban,Fair,No,452854,No,0,None,None
451,4136,4,4,1,1910,Suburban,Poor,Yes,857605,No,0,None,None
452,3722,1,3,2,2018,Downtown,Excellent,Yes,718582,No,0,None,None
453,1667,3,2,1,1957,Suburban,Poor,Yes,231136,No,0,None,None
454,3116,4,3,2,1945,Urban,Poor,Yes,218082,No,0,None,None
455,1562,2,4,1,1928,Rural,Fair,Yes,303301,Yes,44,High,Outdoor
456,2656,1,3,1,1934,Urban,Poor,No,592383,Yes,15,High,Outdoor
457,3482,5,4,1,2011,Suburban,Poor,Yes,173554,No,0,None,None
458,3794,3,1,2,2017,Urban,Excellent,Yes,444655,No,0,None,None
459,1656,1,3,2,1914,Rural,Poor,Yes,962046,Yes,28,Low,Outdoor
460,1232,5,3,3,1959,Suburban,Excellent,Yes,809277,Yes,39,Medium,Indoor
461,4830,5,1,2,1994,Urban,Fair,Yes,528766,No,0,None,None
462,1453,4,3,1,1941,Suburban,Excellent,Yes,972879,Yes,16,High,Outdoor
463,3039,4,1,1,2004,Suburban,Good,Yes,663311,No,0,None,None
464,3824,4,2,2,1942,Downtown,Good,Yes,681469,Yes,19,Low,Indoor
465,3801,1,4,2,1979,Downtown,Excellent,No,272310,No,0,None,None
466,2042,1,1,2,1973,Suburban,Good,No,857032,Yes,41,High,Outdoor
467,1691,3,3,3,1948,Urban,Fair,No,838898,No,0,None,None
468,3493,4,1,1,1963,Urban,Good,Yes,830637,Yes,43,Low,Outdoor
469,3181,5,3,3,1931,Urban,Excellent,Yes,549344,Yes,37,Medium,Indoor
470,1717,2,2,3,1963,Rural,Fair,Yes,750457,No,0,None,None
471,2040,3,1,1,2014,Suburban,Good,No,946366,Yes,24,High,Outdoor
472,3736,1,2,1,1901,Suburban,Fair,Yes,627564,No,0,None,None
473,2886,3,4,2,1923,Rural,Excellent,Yes,493333,Yes,39,Low,Indoor
474,4219,3,3,2,1986,Suburban,Good,Yes,490187,No,0,None,None
475,1888,3,3,3,1965,Suburban,Fair,No,319072,Yes,46,High,Indoor
476,2356,3,2,2,1937,Rural,Fair,No,891741,No,0,None,None
477,1865,2,4,2,1930,Downtown,Good,Yes,255719,Yes,38,High,Indoor
478,999,4,1,1,2014,Suburban,Fair,No,746248,No,0,None,None
479,2180,5,1,1,2003,Rural,Fair,Yes,800385,Yes,31,High,Outdoor
480,1010,3,3,2,1925,Urban,Excellent,Yes,749192,No,0,None,None
481,4812,3,2,1,1928,Downtown,Excellent,No,166196,No,0,None,None
482,1824,3,2,2,1966,Urban,Excellent,No,59404,No,0,None,None
483,1655,4,1,1,2021,Suburban,Excellent,No,476855,Yes,13,High,Outdoor
484,2327,1,4,1,1977,Downtown,Excellent,No,783478,No,0,None,None
485,3641,1,4,1,1924,Rural,Excellent,Yes,503814,Yes,29,Low,Outdoor
486,3986,2,1,1,1947,Suburban,Good,Yes,687475,No,0,None,None
487,2310,1,1,2,1964,Rural,Excellent,No,946881,Yes,41,Medium,Indoor
488,3423,3,2,3,1952,Downtown,Fair,No,601972,No,0,None,None
489,2714,3,4,1,1966,Urban,Good,Yes,642879,Yes,45,Low,Indoor
490,4686,3,1,2,2017,Suburban,Fair,Yes,431965,Yes,13,Low,Outdoor
491,1213,2,1,2,1989,Suburban,Excellent,Yes,783082,No,0,None,None
492,4102,3,3,1,1917,Rural,Excellent,Yes,314826,Yes,36,Low,Outdoor
493,4634,1,1,3,1908,Downtown,Fair,No,161186,Yes,26,Medium,Outdoor
494,4022,4,1,1,1937,Rural,Fair,No,817469,No,0,None,None
495,4768,4,4,2,1986,Downtown,Fair,No,596120,Yes,21,High,Outdoor
496,1743,5,2,3,1920,Suburban,Poor,Yes,591285,Yes,31,High,Outdoor
497,4209,1,4,2,2020,Downtown,Poor,Yes,346784,Yes,26,High,Indoor
498,1581,3,2,1,1964,Suburban,Poor,No,520098,No,0,None,None
499,955,4,3,3,1920,Downtown,Poor,No,90491,Yes,19,Medium,Indoor
500,1394,1,1,2,1926,Urban,Good,No,113043,No,0,None,None
501,1884,4,3,2,2005,Downtown,Excellent,Yes,948607,Yes,10,High,Indoor
502,2458,3,2,2,2022,Urban,Fair,No,178568,Yes,31,Medium,Outdoor
503,3572,4,4,1,1969,Downtown,Excellent,Yes,426394,Yes,35,High,Indoor
504,2496,5,4,3,2018,Downtown,Fair,No,647013,No,0,None,None
505,4785,5,3,1,1943,Rural,Excellent,No,178131,Yes,27,High,Indoor
506,1004,4,2,1,1999,Rural,Good,No,95520,Yes,23,Low,Indoor
507,1714,1,3,1,1927,Suburban,Poor,Yes,375063,No,0,None,None
508,2031,1,3,3,1944,Rural,Excellent,Yes,684157,Yes,38,Medium,Indoor
509,3940,1,1,1,1916,Downtown,Fair,Yes,638730,No,0,None,None
510,1323,4,3,1,2022,Rural,Excellent,Yes,835313,No,0,None,None
511,1428,1,1,1,1939,Downtown,Good,Yes,202842,Yes,21,Low,Indoor
512,633,3,1,1,2021,Urban,Good,Yes,417390,No,0,None,None
513,2605,5,4,2,2015,Downtown,Excellent,No,752858,Yes,45,Low,Outdoor
514,4127,3,1,1,1902,Suburban,Poor,Yes,421831,No,0,None,None
515,2352,1,1,2,1975,Urban,Fair,No,572485,No,0,None,None
516,4675,3,4,1,2002,Suburban,Good,Yes,697735,Yes,44,Low,Indoor
517,3433,1,3,3,1975,Suburban,Good,No,635765,No,0,None,None
518,3784,4,2,2,1965,Suburban,Excellent,No,574532,No,0,None,None
519,4798,3,2,2,2019,Rural,Good,Yes,915885,No,0,None,None
520,3311,4,2,2,1945,Suburban,Good,No,500953,No,0,None,None
521,1750,4,3,2,1985,Urban,Fair,Yes,227561,No,0,None,None
522,4012,2,1,3,1986,Downtown,Poor,Yes,964394,Yes,21,Medium,Outdoor
523,1756,1,2,1,1929,Suburban,Fair,Yes,907735,No,0,None,None
524,3876,5,3,2,1968,Urban,Poor,Yes,340534,Yes,16,Medium,Outdoor
525,3986,1,1,3,1908,Suburban,Fair,No,584535,No,0,None,None
526,4084,5,4,2,1984,Downtown,Excellent,Yes,250123,Yes,38,High,Outdoor
527,1896,1,2,1,1910,Urban,Good,No,765079,Yes,20,Low,Outdoor
528,4137,4,1,2,1968,Urban,Poor,No,477894,No,0,None,None
529,3830,3,2,3,1998,Downtown,Excellent,No,531018,No,0,None,None
530,3203,3,2,1,1990,Urban,Good,Yes,257358,No,0,None,None
531,970,2,2,3,2012,Downtown,Good,No,866015,Yes,42,High,Outdoor
532,1853,5,1,1,1965,Urban,Good,Yes,566456,No,0,None,None
533,3283,5,3,1,1987,Urban,Fair,No,189148,Yes,15,Low,Indoor
534,3331,5,1,1,1930,Downtown,Excellent,Yes,985510,Yes,24,Medium,Indoor
535,857,4,2,2,1932,Downtown,Excellent,Yes,196123,Yes,41,Medium,Outdoor
536,3519,5,1,3,1938,Urban,Good,Yes,447530,No,0,None,None
537,1167,3,4,3,1993,Urban,Poor,Yes,602958,No,0,None,None
538,4968,4,3,3,1945,Downtown,Excellent,No,543973,Yes,20,Medium,Outdoor
539,1645,1,1,1,1936,Rural,Fair,No,961352,Yes,32,Low,Outdoor
540,4685,5,4,2,2014,Downtown,Poor,Yes,60236,No,0,None,None
541,4219,5,3,1,1991,Urban,Poor,No,85568,Yes,35,Medium,Indoor
542,3245,1,4,3,1959,Urban,Poor,Yes,681615,No,0,None,None
543,1039,5,3,2,1930,Urban,Poor,Yes,305745,Yes,43,Low,Outdoor
544,3279,1,1,2,1910,Downtown,Excellent,No,422332,No,0,None,None
545,4636,4,4,2,1986,Urban,Good,Yes,535119,Yes,43,High,Indoor
546,4275,3,2,3,2020,Rural,Poor,Yes,328496,No,0,None,None
547,3008,1,4,2,1901,Suburban,Fair,Yes,700009,Yes,38,Low,Outdoor
548,3279,2,3,2,2003,Rural,Fair,Yes,309291,No,0,None,None
549,1424,1,1,1,2004,Downtown,Good,Yes,488866,No,0,None,None
550,3456,5,3,1,1926,Urban,Excellent,No,453562,Yes,13,High,Indoor
551,2081,4,4,2,1998,Downtown,Good,No,730516,Yes,26,Low,Outdoor
552,3824,4,4,2,1901,Suburban,Poor,No,105904,No,0,None,None
553,4985,1,2,1,2002,Downtown,Excellent,Yes,981539,Yes,44,High,Indoor
554,755,3,1,1,2000,Urban,Excellent,Yes,958573,No,0,None,None
555,2338,2,1,1,1920,Suburban,Poor,Yes,328252,Yes,22,Medium,Outdoor
556,2444,4,4,3,1957,Suburban,Fair,Yes,572247,No,0,None,None
557,509,5,1,3,1904,Urban,Poor,Yes,839285,No,0,None,None
558,3371,5,2,1,1951,Urban,Good,Yes,396300,No,0,None,None
559,1297,3,3,2,1944,Urban,Poor,No,316320,No,0,None,None
560,1515,4,1,1,1984,Downtown,Fair,Yes,674747,No,0,None,None
561,2324,1,4,3,1992,Rural,Poor,No,469136,No,0,None,None
562,4969,5,3,2,1919,Downtown,Good,Yes,235922,Yes,48,High,Indoor
563,3636,3,3,3,1960,Downtown,Good,No,187901,Yes,24,Medium,Indoor
564,2693,4,2,2,1937,Rural,Fair,Yes,173225,Yes,38,Medium,Indoor
565,723,4,4,3,1919,Urban,Good,No,543406,No,0,None,None
566,4658,4,1,2,2013,Urban,Good,No,810135,No,0,None,None
567,4425,4,4,2,1924,Rural,Poor,Yes,271738,No,0,None,None
568,4500,4,3,2,1901,Rural,Excellent,Yes,954890,No,0,None,None
569,2133,5,4,2,2020,Downtown,Good,No,685181,Yes,38,High,Indoor
570,2652,3,1,3,1931,Suburban,Good,Yes,910359,Yes,20,Low,Indoor
571,1010,4,1,3,1925,Rural,Fair,Yes,528076,No,0,None,None
572,884,2,2,2,1969,Downtown,Fair,Yes,954610,Yes,41,Low,Indoor
573,904,2,1,2,1940,Suburban,Poor,No,292726,Yes,11,Low,Indoor
574,2500,3,1,3,2020,Urban,Poor,Yes,352811,No,0,None,None
575,3256,1,4,2,1966,Urban,Good,No,771202,Yes,23,Low,Outdoor
576,2168,1,4,2,1996,Downtown,Excellent,No,479059,No,0,None,None
577,1960,1,3,2,1900,Downtown,Excellent,Yes,756168,Yes,29,Low,Outdoor
578,4136,2,2,1,1950,Rural,Poor,No,473759,No,0,None,None
579,3224,1,4,2,1904,Urban,Fair,Yes,515996,No,0,None,None
580,4678,5,1,1,1912,Downtown,Good,Yes,56611,No,0,None,None
581,2548,4,3,2,1918,Urban,Good,No,400386,No,0,None,None
582,4646,2,4,3,1911,Urban,Excellent,No,921044,Yes,31,Medium,Outdoor
583,1216,3,2,1,1947,Rural,Poor,No,883334,No,0,None,None
584,2323,3,2,1,1924,Suburban,Excellent,No,821812,No,0,None,None
585,2581,4,3,2,1956,Rural,Excellent,No,345187,No,0,None,None
586,3919,2,3,2,2014,Downtown,Poor,Yes,186343,Yes,20,Low,Outdoor
587,2074,1,3,1,1934,Rural,Fair,No,909299,No,0,None,None
588,749,1,3,3,1975,Rural,Good,Yes,389233,Yes,36,Medium,Outdoor
589,1173,5,3,3,1993,Urban,Fair,Yes,895177,No,0,None,None
590,2665,5,1,2,1904,Rural,Poor,No,540092,Yes,12,Medium,Indoor
591,1270,1,1,3,1997,Downtown,Poor,No,240191,Yes,26,Medium,Indoor
592,4462,3,4,3,1921,Suburban,Good,No,716933,No,0,None,None
593,4863,3,2,2,2002,Rural,Fair,No,726769,Yes,37,High,Indoor
594,2484,5,1,3,1976,Rural,Good,No,922402,No,0,None,None
595,1577,4,1,2,1956,Suburban,Excellent,Yes,336608,No,0,None,None
596,735,1,1,1,1946,Downtown,Excellent,Yes,299220,No,0,None,None
597,888,5,4,2,1953,Downtown,Excellent,Yes,486056,Yes,38,High,Indoor
598,3537,5,3,1,1902,Rural,Fair,No,692811,Yes,30,Medium,Indoor
599,2348,1,4,1,2023,Urban,Excellent,No,594950,No,0,None,None
600,3314,1,2,3,1952,Rural,Good,Yes,854660,No,0,None,None
601,3874,3,2,3,1983,Suburban,Fair,No,635009,Yes,25,High,Outdoor
602,3778,4,2,3,1930,Suburban,Good,No,712746,No,0,None,None
603,1752,4,2,2,1968,Suburban,Poor,No,843294,No,0,None,None
604,4481,1,1,3,1987,Rural,Fair,Yes,614396,No,0,None,None
605,2622,2,1,1,2003,Rural,Good,No,141788,Yes,46,Low,Outdoor
606,2650,5,4,3,2017,Downtown,Good,Yes,518239,Yes,29,Low,Outdoor
607,1829,5,3,3,1932,Urban,Fair,No,294437,Yes,15,Medium,Outdoor
608,1858,1,2,2,1971,Rural,Poor,No,811299,No,0,None,None
609,2982,2,4,2,1987,Downtown,Fair,Yes,916572,No,0,None,None
610,2517,3,1,1,1949,Rural,Excellent,No,732561,No,0,None,None
611,1831,1,1,2,1983,Downtown,Excellent,No,905010,Yes,28,Low,Indoor
612,4844,1,3,3,2023,Downtown,Poor,No,99966,No,0,None,None
613,4761,5,3,2,1915,Urban,Good,Yes,235846,No,0,None,None
614,1858,1,3,1,2013,Rural,Good,No,322530,No,0,None,None
615,3677,1,4,3,2015,Downtown,Good,No,651516,No,0,None,None
616,2628,1,1,1,1975,Suburban,Fair,No,196297,Yes,14,Medium,Indoor
617,2680,5,1,2,1976,Suburban,Fair,No,459909,Yes,12,Medium,Indoor
618,637,3,3,2,2008,Suburban,Poor,No,384341,No,0,None,None
619,3972,3,2,1,2005,Urban,Excellent,Yes,93021,Yes,10,Low,Outdoor
620,3332,1,3,3,1938,Downtown,Good,Yes,431059,Yes,47,High,Indoor
621,4079,5,4,2,1988,Urban,Excellent,No,199333,No,0,None,None
622,3531,3,3,2,1945,Rural,Fair,No,470594,No,0,None,None
623,4664,3,3,3,1995,Rural,Fair,Yes,953606,Yes,24,Low,Outdoor
624,3093,3,4,2,1987,Downtown,Fair,No,826934,No,0,None,None
625,4800,5,3,1,2011,Suburban,Excellent,No,136755,Yes,43,Low,Indoor
626,4318,5,1,2,1946,Downtown,Poor,No,979441,No,0,None,None
627,4638,1,2,2,1943,Downtown,Poor,No,116330,Yes,44,Medium,Indoor
628,4323,4,3,3,1908,Downtown,Fair,No,752726,No,0,None,None
629,4542,3,4,1,2003,Urban,Good,No,908754,Yes,34,Medium,Outdoor
630,2406,4,2,3,2013,Rural,Excellent,No,938750,Yes,33,Medium,Indoor
631,1260,5,4,2,1986,Downtown,Fair,No,619601,Yes,21,Medium,Indoor
632,3945,5,2,2,1949,Downtown,Excellent,Yes,284729,No,0,None,None
633,1399,5,2,3,1976,Downtown,Excellent,Yes,807071,Yes,27,High,Outdoor
634,4955,4,3,3,1959,Urban,Poor,No,339176,Yes,24,High,Indoor
635,3447,5,1,3,2022,Urban,Fair,No,535179,No,0,None,None
636,2219,1,3,1,1995,Urban,Poor,No,198430,No,0,None,None
637,780,5,4,2,2013,Downtown,Fair,No,898142,Yes,25,High,Outdoor
638,3766,2,4,3,1914,Suburban,Excellent,Yes,407470,Yes,36,Medium,Indoor
639,2387,4,2,2,1935,Suburban,Poor,Yes,398301,No,0,None,None
640,3766,2,2,1,2012,Suburban,Excellent,Yes,492037,No,0,None,None
641,1166,5,1,1,1962,Rural,Fair,Yes,78365,No,0,None,None
642,4688,1,3,1,1968,Downtown,Good,No,325333,No,0,None,None
643,1171,3,4,1,1985,Suburban,Poor,No,519965,No,0,None,None
644,2469,5,2,2,1979,Suburban,Poor,No,581536,Yes,17,Medium,Indoor
645,4656,1,1,1,1940,Suburban,Excellent,Yes,54369,No,0,None,None
646,3622,4,4,1,1973,Downtown,Excellent,No,506979,Yes,34,Medium,Indoor
647,4400,2,2,3,1923,Suburban,Good,No,975554,Yes,26,High,Indoor
648,1023,2,4,1,1981,Suburban,Poor,Yes,865037,Yes,38,Medium,Indoor
649,2893,2,1,3,1948,Downtown,Fair,Yes,886048,No,0,None,None
650,3617,4,1,1,1917,Rural,Fair,Yes,497695,Yes,17,Low,Indoor
651,3093,1,4,1,1906,Urban,Poor,Yes,415863,Yes,24,Low,Indoor
652,2468,4,3,3,1903,Suburban,Poor,Yes,221955,No,0,None,None
653,2253,2,4,1,1989,Urban,Poor,No,607343,Yes,36,Medium,Indoor
654,2796,5,2,2,1968,Rural,Good,No,774091,Yes,16,Low,Outdoor
655,2761,3,3,2,1959,Rural,Fair,Yes,428824,No,0,None,None
656,2786,4,2,1,1954,Suburban,Fair,No,319594,Yes,12,Low,Outdoor
657,4702,4,4,2,1915,Downtown,Excellent,No,183997,Yes,38,High,Indoor
658,3378,1,3,3,1998,Rural,Excellent,No,523267,Yes,33,Medium,Indoor
659,4643,1,2,1,1989,Urban,Poor,No,100272,No,0,None,None
660,4144,4,4,1,1981,Urban,Excellent,Yes,55310,No,0,None,None
661,4932,2,4,3,1928,Urban,Good,No,81817,No,0,None,None
662,2555,3,3,3,1922,Urban,Fair,No,558350,Yes,12,Medium,Outdoor
663,1776,1,4,3,2016,Rural,Fair,No,536160,Yes,29,High,Indoor
664,3266,2,1,1,1913,Suburban,Excellent,Yes,487744,No,0,None,None
665,802,5,2,3,1978,Suburban,Poor,No,790176,Yes,24,Low,Indoor
666,1138,1,2,3,1948,Urban,Excellent,Yes,132641,Yes,34,Low,Outdoor
667,555,2,4,2,1932,Suburban,Poor,Yes,789443,No,0,None,None
668,1025,2,4,2,1924,Urban,Good,Yes,781670,No,0,None,None
669,4623,3,1,1,1920,Urban,Fair,Yes,589745,Yes,39,Medium,Indoor
670,2625,3,3,2,1916,Downtown,Good,No,92311,Yes,23,Low,Indoor
671,3787,5,4,2,1922,Rural,Fair,Yes,971484,Yes,16,High,Outdoor
672,864,2,4,3,1956,Rural,Good,Yes,201958,No,0,None,None
673,2146,2,4,3,2006,Urban,Excellent,Yes,520328,No,0,None,None
674,1418,3,4,2,1980,Rural,Good,Yes,494093,No,0,None,None
675,3297,1,2,2,1957,Suburban,Good,Yes,697861,No,0,None,None
676,2031,1,4,2,1913,Urban,Excellent,No,409571,Yes,26,High,Indoor
677,3845,4,2,1,1992,Downtown,Fair,Yes,872613,No,0,None,None
678,2406,3,4,1,1919,Suburban,Fair,No,214334,No,0,None,None
679,3586,4,3,1,1929,Downtown,Excellent,No,968451,No,0,None,None
680,2575,3,1,2,1918,Downtown,Good,Yes,443238,No,0,None,None
681,1213,5,3,2,1952,Rural,Good,No,837560,No,0,None,None
682,1562,2,4,1,2002,Rural,Good,No,653810,Yes,29,Medium,Indoor
683,2476,5,4,1,1955,Urban,Poor,No,213394,Yes,45,High,Outdoor
684,1796,3,4,2,1976,Rural,Fair,Yes,98929,No,0,None,None
685,625,2,3,3,1981,Downtown,Good,Yes,655984,Yes,18,High,Indoor
686,4096,1,4,1,1922,Downtown,Fair,Yes,427389,No,0,None,None
687,3783,1,3,2,1961,Suburban,Good,Yes,846240,No,0,None,None
688,2103,4,2,2,2009,Downtown,Excellent,Yes,669436,Yes,47,Medium,Outdoor
689,566,3,1,3,1932,Urban,Excellent,Yes,496098,Yes,31,High,Indoor
690,732,3,1,2,2002,Urban,Fair,Yes,858157,No,0,None,None
691,2656,1,3,2,2003,Rural,Fair,No,384678,No,0,None,None
692,1669,5,2,1,1917,Rural,Excellent,No,352094,No,0,None,None
693,2658,2,3,1,1972,Rural,Poor,Yes,794314,Yes,11,High,Indoor
694,4706,5,2,3,1932,Urban,Excellent,No,133576,No,0,None,None
695,1993,5,4,3,1931,Downtown,Good,Yes,70557,No,0,None,None
696,4507,1,2,2,1960,Rural,Poor,Yes,596113,No,0,None,None
697,2972,1,2,1,1953,Suburban,Excellent,Yes,321142,Yes,33,High,Outdoor
698,3160,1,2,3,1916,Rural,Poor,No,86080,No,0,None,None
699,3239,4,1,3,1918,Urban,Poor,Yes,833103,No,0,None,None
700,2261,5,2,3,1990,Rural,Poor,Yes,238869,Yes,17,Low,Outdoor
701,4014,3,4,2,1969,Downtown,Fair,Yes,721162,No,0,None,None
702,2475,2,4,1,1998,Rural,Excellent,Yes,978671,No,0,None,None
